role_name,description,top_skills
Aerospace Engineer,"Designs everything that flies, from small drones and commercial airplanes to rockets and satellites heading to Mars.","[Aerodynamics, Propulsion, Flight Mechanics, Structural Materials, Aerospace Systems]"
Geological Engineer,Studies the earth and rocks at a construction site. They make sure the ground is strong enough to hold a building or bridge without sinking or sliding.,"[Geotechnical Analysis, Site Characterization, Seismic Risk, Soil Mechanics, Earth Engineering]"
Hydropower Engineer,Designs dams and underwater turbines that turn the power of moving river water into electricity.,"[Hydro-turbines, Dam Engineering, Hydrological Modeling, Water Energy, Structural Safety]"
Substation Engineer,"Specializes in the design of power substations, which are the hubs where electricity is changed from high voltage to the lower voltage used in homes.","[High-Voltage Engineering, P&C Systems, Switchgear Design, Grid Infrastructure, Electrical Transformation]"
Agricultural Equipment Design Engineer,"Designs tractors, harvesters, and other machines for farming. They focus on making machines that can work in mud and dust while using GPS to plant crops perfectly.","[Mechanical Engineering, Hydraulics, Autonomous Vehicles, Farm Tech, Durability]"
e-Learning Architect,"Plans the big-picture strategy for how a company trains its employees online. They design the systems and ""learning paths"" that people follow.","[EdTech Frameworks, UX Design, Data Analytics, Scalable Learning, Digital Strategy]"
Food Production Engineer,"Focuses on the machines and chemistry used to make food in huge quantities. They ensure the food is safe, tastes good, and stays fresh for a long time.","[Food Chemistry, Hygienic Design, Automated Processing, Food Safety, Production Efficiency]"
Computer Software Shop Manager,Runs a store that sells computers and software. They manage the staff and make sure customers get the right advice for their tech needs.,"[Retail Management, Customer Service, Tech Product Knowledge, Merchandising, Sales Leadership]"
Precision Engineer,Makes parts that are incredibly small or have to be perfect down to a millionth of a meter. They work on high-end optics and medical tools.,"[Nanotechnology, Metrology, Ultra-Precision Machining, High-Tolerance Design, Micron-level Engineering]"
Gas Distribution Engineer,Manages the network of pipes that bring natural gas to homes for heating and cooking. They focus heavily on safety and preventing leaks.,"[Pipeline Design, Pressure Regulation, Safety Monitoring, Infrastructure Maintenance, Leak Detection]"
Aerodynamics Engineer,Studies how air flows around objects. They help car and plane designers make shapes that cut through the air easily to save fuel and go faster.,"[CFD, Wind Tunnel Testing, Fluid Mechanics, Drag Reduction, Lift Optimization]"
Automation Engineer,Replaces manual factory jobs with robots and smart machines. They program the systems that allow a factory to run itself with very little human help.,"[PLC/SCADA, Robotics, Control Logic, Industrial Automation, Process Control]"
Photonics Engineer,Works with lasers and light. They design the fiber-optic cables that make the internet fast and the lasers used in surgery.,"[Laser Physics, Optical Engineering, Photonic Integration, Fiber-Optics, Light Science]"
Gas Production Engineer,Manages the facilities that pull natural gas out of the earth and clean it so it can be used as fuel.,"[Petrochemical Engineering, Safety Protocols, Process Control, Yield Optimization, Gas Refining]"
Aircraft Maintenance Engineer,The highly trained mechanics who inspect planes every day. They fix engines and electronics to ensure every flight is 100% safe.,"[Avionics, Mechanical Troubleshooting, Aviation Regulations (EASA/FAA), Safety Inspection, Record-Keeping]"
Fluid Power Engineer,"Designs systems that use pressurized liquids or air to move heavy things, like the arms on an excavator or the landing gear on a plane.","[Fluid Mechanics, Valve Design, Hydraulics/Pneumatics, Circuit Simulation, High-Force Systems]"
Cloud Engineer,"Builds the ""virtual"" servers that host websites and apps. They make sure the cloud system can handle millions of users without crashing.","[AWS/Azure/GCP, DevOps Automation, Cloud Security, Infrastructure as Code, Scalability]"
Synthetic Materials Engineer,"Creates man-made materials like new types of plastic, rubber, or carbon fiber. They focus on making these materials stronger, lighter, or easier to recycle.","[Polymer Chemistry, Injection Molding, Material Testing, Chemical Properties, Synthetic Design]"
Energy Engineer,"Finds ways to make buildings and factories use less power. They might install better insulation, upgrade heaters, or add solar panels to save money and the environment.","[Energy Auditing, Sustainability, HVAC Optimization, Consumption Analysis, Green Engineering]"
Embedded Systems Security Engineer,"Protects the ""hidden"" computers inside things like smart fridges, cars, and pacemakers from being hacked.","[Cryptographic Protocols, Secure Boot, Vulnerability Assessment, IoT Security, Firmware Protection]"
Aviation Data Communications Manager,Manages the radio and satellite systems that allow pilots to talk to air traffic control and send data about the plane's flight path.,"[RF Engineering, Network Protocols, Aviation Safety, Communication Systems, Data Management]"
Dependability Engineer,Focuses on making sure a product doesn't break. They analyze every part to see what might fail and find ways to make the whole system more reliable.,"[FMEA, Probabilistic Modeling, Risk Assessment, Reliability Engineering, Maintainability]"
Waste Treatment Engineer,Designs the plants that clean up trash and sewage. They focus on recycling as much as possible and making sure any leftover waste is safe for the environment.,"[Chemical Engineering, Biological Treatment, Waste-to-Energy, Environmental Compliance, Recycling Tech]"
Energy Systems Engineer,Designs the complex systems that balance where energy comes from (like wind and coal) and where it goes (to homes and businesses) across a whole region.,"[Smart Grid, Energy Storage, System Modeling, Infrastructure Resilience, Energy Balancing]"
Alternative Fuels Engineer,"Researches and develops new ways to power cars and planes, such as using hydrogen or fuel made from plants (biofuels).","[Chemical Processing, Combustion Analysis, Sustainability Metrics, Fuel Tech, Carbon Reduction]"
Microelectronics Materials Engineer,Specializes in the silicon and chemicals used to make the world’s fastest computer chips.,"[Nanomaterials, Semiconductor Physics, Thin-Film Characterization, Thermal Management, Microchip Materials]"
Instrumentation Engineer,"Designs the ""nervous system"" of a factory—the sensors and gauges that tell the operators exactly what is happening inside the machines.","[Process Control (PID), Sensor Calibration, Automation Software, Measurement Science, Industrial Controls]"
Health and Safety Engineer,"The expert who designs the workplace to prevent accidents. They make sure machines have guards, air is clean to breathe, and workers have the right safety gear.","[Risk Assessment, Industrial Hygiene, OSHA Regulations, Safety Auditing, Hazard Identification]"
Water Engineer,Manages the world’s water. They design the systems that bring clean water to your tap and the pipes that carry rain away during a storm to prevent flooding.,"[Hydraulics, Water Treatment, Hydrological Modeling, Distribution Infrastructure, Public Health]"
Fisheries Assistant Engineer,"Helps keep the mechanical systems on a fishing boat or at a fish farm running, focusing on the engines and the cooling tanks for the fish.","[Marine Engine Maintenance, Refrigeration Support, Operational Safety, Fishery Equipment, Technical Support]"
Import Export Specialist (Computers/Software),Handles the complex paperwork and laws required to ship computers and software between different countries.,"[Customs Regulations, International Trade Law, Logistics, Tariff Management, Compliance]"
Powertrain Engineer,Focuses specifically on the engine and transmission of a vehicle. They work to make cars faster while using less gas or electricity.,"[Engine Design, Electric Motors, Transmission Systems, Vehicle Performance, Emissions Standards]"
Optical Engineer,"Designs things that use light, like the lenses in your phone camera, the lasers used in eye surgery, or the sensors on a space telescope.","[Lens Design (Zemax), Laser Physics, Photonics, Image Quality, Precision Optics]"
Microelectronics Engineer,"Designs and builds the microscopic circuits that make up the ""brains"" of all modern electronics, from watches to supercomputers.","[Semiconductor Fab, VLSI Design, Microfabrication, Integrated Circuits, Chip Architecture]"
Thermal Engineer,The expert in heat. They design the fans and cooling systems that keep laptops from melting and satellites from freezing in space.,"[Heat Transfer, CFD, Thermal Modeling, Cooling Solutions, Thermodynamics]"
